City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Oranjemund,NA,-28.55,16.4333,63.34,90,4,8.63
164,Komsomolskiy,UZ,40.4272,71.7189,39.2,45,100,4.61
165,Nantucket,US,41.2835,-70.0995,43.0,87,90,11.5
166,Slochteren,NL,53.2208,6.8055,37.4,93,90,10.36
167,Mattru,SL,7.6244,-11.8332,78.6,67,74,4.61
168,Souillac,MU,-20.5167,57.5167,78.8,78,40,6.91
169,Tacna,PE,-18.0056,-70.2483,73.4,64,0,13.8
170,Maceio,BR,-9.6658,-35.7353,80.6,74,0,14.97
171,Giyani,ZA,-23.3025,30.7187,73.69,93,100,6.13
172,Floro,NO,61.5996,5.0328,24.8,58,0,11.5
173,Sayat,TM,38.7839,63.8803,57.2,30,0,16.11
174,Victoria,HK,22.2855,114.1577,64.99,75,0,4.03
175,Kamenka,RU,51.3223,42.7678,15.01,83,100,15.01
176,Codrington,AU,-38.2667,141.9667,56.5,88,21,12.19
177,Agadez,NE,19.75,10.25,63.1,28,0,6.51
178,Rawah,IQ,34.4816,41.9093,55.26,77,99,4.9
179,Maunabo,PR,18.0072,-65.8993,81.0,80,9,1.99
180,Taoudenni,ML,22.6783,-3.9836,83.05,13,88,12.24
181,Dharmadam,IN,11.7833,75.4333,73.92,82,7,4.25
182,Riyadh,SA,24.6877,46.7219,69.8,21,20,9.22
183,Hobyo,SO,5.3505,48.5268,75.83,80,25,15.14
184,Talnakh,RU,69.4865,88.3972,-26.39,84,93,5.1
185,Yenagoa,NG,4.9247,6.2642,80.6,81,0,5.93
186,Korla,CN,41.7597,86.1469,26.33,83,0,2.39
187,Sinnamary,GF,5.3833,-52.95,78.21,84,59,14.29
188,Jumla,NP,29.2747,82.1838,28.63,88,100,3.8
189,Malegaon,IN,20.55,74.5333,66.69,27,0,4.45
190,Zlobin,HR,45.2924,14.6541,53.6,87,75,4.61
191,Hala,PK,25.8131,68.4227,55.4,82,0,2.91
192,Ust-Kulom,RU,61.6864,53.6902,16.3,96,100,11.18
193,Sylacauga,US,33.1732,-86.2516,55.0,24,1,5.75
194,Araguacu,BR,-12.9306,-49.8264,80.64,87,100,4.14
