City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
181,Dharmadam,IN,73.92,11.7833,75.4333,Samudra Homes
183,Hobyo,SO,75.83,5.3505,48.5268,Halane Hotel and Restaurent
185,Yenagoa,NG,80.6,4.9247,6.2642,Aridolf Resort Wellness and Spa
187,Sinnamary,GF,78.21,5.3833,-52.95,ALETHEIA Appartement Sinnamary
194,Araguacu,BR,80.64,-12.9306,-49.8264,Hotel Tocantins
196,Mumford,GH,80.91,5.2618,-0.759,Spanish Villa
197,Karaton,ID,80.6,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
199,Salgueiro,BR,88.86,-8.0742,-39.1192,Hotel Polo
200,Beloha,MG,76.17,-25.1667,45.05,
204,Camana,PE,73.51,-16.6228,-72.7111,Hostal Morales
206,Samana,DO,82.4,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
208,Cidreira,BR,72.12,-30.1811,-50.2056,Hotel Castelo
215,Eyl,SO,72.39,7.9803,49.8164,Amiin Hotel
217,Lekoni,GA,82.22,-1.5843,14.2591,Rendez-vous Des ChasseursD
220,Necochea,AR,82.71,-38.5473,-58.7368,dyd -mar Hotel
231,Paita,PE,84.2,-5.0892,-81.1144,Hotel Náutico de Paita
232,Buchanan,LR,78.8,5.8808,-10.0467,Kamaneahn Hotel Inc
238,Gogrial,SS,76.48,8.5332,28.1004,
239,Magdalena,PH,78.8,14.1999,121.429,Samparada & Gestiada Residences
241,Inirida,CO,83.07,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
244,Tucuma,BR,81.82,-0.1833,-50.05,
246,Jacmel,HT,82.06,18.2342,-72.5347,Hotel Florita
247,Tambura,SS,75.42,5.6,27.4667,Rikito Lodge
248,Bathsheba,BB,80.6,13.2167,-59.5167,Atlantis Hotel
249,Omboue,GA,79.07,-1.5746,9.2618,Hotel Olako
250,Gurupa,BR,88.2,-1.405,-51.64,Residencial DWD
261,Riachao,BR,79.52,-7.3619,-46.6172,Pousada Nordestina
262,Wukari,NG,82.4,7.85,9.7833,Elimtop
271,Tessalit,ML,74.07,20.1986,1.0114,
274,Humaita,BR,78.6,-7.5061,-63.0208,Corrêa Hotel
278,Salinopolis,BR,81.32,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
280,Manta,EC,82.4,-0.95,-80.7333,Balandra Hotel
282,Grenville,GD,84.2,12.1167,-61.6167,Valley Breeze Guest House
283,Sapele,NG,82.09,5.8941,5.6767,Movig Hotel & Suites
288,Araouane,ML,81.64,18.9048,-3.5265,
289,Thinadhoo,MV,81.86,0.5333,72.9333,
290,Panaba,MX,86.43,21.2833,-88.2667,Posada rosario
292,Ilabaya,PE,72.1,-17.4208,-70.5133,
294,Natitingou,BJ,80.56,10.3042,1.3796,Auberge Centrale
297,Pisco,PE,75.2,-13.7,-76.2167,Hotel San Isidro Oficial
298,Male,MV,80.6,4.1748,73.5089,Hotel Octave Maldives
300,Alenquer,BR,86.0,-1.9417,-54.7383,Josilene Castro
302,Gualaceo,EC,71.6,-2.9,-78.7833,Arhaná Hosteria Resort
307,Vallenar,CL,83.89,-28.5708,-70.7581,Humacao Bed & Breakfast
308,Mana,GF,78.8,5.6592,-53.7767,LE SAMANA
309,Sakaraha,MG,73.8,-22.9,44.5333,Le Relais
312,Sambava,MG,77.0,-14.2667,50.1667,Melrose
322,Huarmey,PE,75.13,-10.0681,-78.1522,Hotel Miramar
323,Orodara,BF,80.6,10.9492,-4.9342,Bkf Orodara
324,Bayeux,BR,80.6,-7.125,-34.9322,Infinity Motel
325,Sokoni,TZ,80.6,-6.4333,39.55,Ujamaa Beach Resort
327,Maracay,VE,89.6,10.2469,-67.5958,Hotel Florida
328,Koupela,BF,81.52,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
330,Kasongo-Lunda,CD,72.05,-6.4667,16.8167,
334,Cururupu,BR,80.02,-1.8283,-44.8683,Pousada Través'cia
338,Namibe,AO,72.28,-15.1961,12.1522,Hotel Chik Chik Namibe
341,Beinamar,TD,77.2,8.6698,15.3813,
349,Harper,LR,79.45,4.375,-7.7169,Screensaver
352,Moussoro,TD,70.03,13.6408,16.4901,Pharmacie alnadja Moussoro
358,Illapel,CL,77.76,-31.6308,-71.1653,Hotel Londres
