City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,Narva-Joesuu,59.4589,28.0408,19.11,95,100,15.08,EE,2021-02-04 01:27:07
478,Beyneu,45.3167,55.2,38.75,81,100,4.72,KZ,2021-02-04 01:27:07
479,Tahoua,14.8888,5.2692,69.8,12,0,6.91,NE,2021-02-04 01:23:01
480,Gombe,10.2897,11.1673,69.15,22,3,9.4,NG,2021-02-04 01:26:13
481,Annau,37.8876,58.516,41.0,52,67,6.91,TM,2021-02-04 01:27:08
482,Prado,-17.3411,-39.2208,77.25,85,69,7.38,BR,2021-02-04 01:27:08
483,Vestmannaeyjar,63.4427,-20.2734,37.8,77,100,32.68,IS,2021-02-04 01:27:08
484,Yei,4.095,30.6779,75.61,34,62,1.52,SS,2021-02-04 01:27:08
485,Orthez,43.4884,-0.7724,53.01,87,90,3.44,FR,2021-02-04 01:27:08
486,Morogoro,-6.8167,37.6667,69.44,94,10,0.31,TZ,2021-02-04 01:27:08
